CASE_ID,UNIQUE_CORRELATION_ID,CHARGE_ID,CASE_CREATED_DATE,CHARGE_DEGREE,CHARGE_LEVEL,CORRELATION_ID,DEF_PROSEC_PRETRIAL_DIVER_AGREE_DATE,DEF_STATUTE_CHAPTER_CODE,DEF_STATUTE_CHAPTER_GROUPING,DEF_STATUTE_SECTION,DEF_STATUTE_SUBSECTION,DEFENDANT_AGE,DEFENDANT_RACE_TYPE_DESC,DEFENDANT_SEX_TYPE_DESC,DEFENDANT_ETHNICITY_TYPE_DESC,DEFENDANT_ID,DRUG_TYPE_DESC,FINAL_ACTION_PROSECUTOR,FINAL_ACTION_DESC,FINAL_DECISION,OFFENSE_CODE,OFFENSE_FCIC_TYPE_DESC,OWNER_ORI,STATUTE,VICTIM_AGE,VICTIM_RACE_TYPE_DESC,VICTIM_SEX_TYPE_DESC,VICTIM_ETHNICITY_TYPE_DESC,VICTIM_ID,VICTIM_RELATIONSHIP_TO_OFFENDER_CODE,UCN_COUNTY_CODE,AGENCY_NAME,COUNTY_DESCRIPTION,STATE
2183328,2e344068-bf59-4ea1-9476-3bda0a0a7349,7528180,34:17.6,Second Degree,Felony,2e344068-bf59-4ea1-9476-3bda0a0a7349,,827,Abuse of Children,71,3,,White,Male,Unknown,7810781,,N,Filed Pending Court,00:00.0,,Abuse of Children,FL064015A,827.071.3,,Unknown,Unknown,Unknown,,,64,Volusia County State Attorney's Office,Volusia,Florida
2183328,2e344068-bf59-4ea1-9476-3bda0a0a7349,7528181,34:17.6,Second Degree,Felony,2e344068-bf59-4ea1-9476-3bda0a0a7349,,827,Abuse of Children,71,3,,White,Male,Unknown,7810781,,N,Filed Pending Court,00:00.0,,Abuse of Children,FL064015A,827.071.3,,Unknown,Unknown,Unknown,,,64,Volusia County State Attorney's Office,Volusia,Florida
2131895,066f52a4-d056-42f4-9c1e-cc2b11408c3e,7335662,53:54.5,Not Applicable,Misdemeanor,066f52a4-d056-42f4-9c1e-cc2b11408c3e,,322,Driver Licenses,34,2a,,White,Male,Unknown,7634864,,N,Filed Pending Court,00:00.0,,Driver Licenses,FL064015A,322.34.2a,,Unknown,Unknown,Unknown,,,64,Volusia County State Attorney's Office,Volusia,Florida
2131900,98629dcf-4e1d-4340-8be8-7a3da0b76252,7335666,53:54.8,Not Applicable,Misdemeanor,98629dcf-4e1d-4340-8be8-7a3da0b76252,,812,"Theft, Robbery, and Related Crimes",15,1d,,White,Male,Unknown,7634866,,N,Filed Pending Court,00:00.0,,"Theft, Robbery, and Related Crimes",FL064015A,812.015.1d,,Unknown,Unknown,Unknown,,,64,Volusia County State Attorney's Office,Volusia,Florida
2131900,98629dcf-4e1d-4340-8be8-7a3da0b76252,7335667,53:54.8,Not Applicable,Misdemeanor,98629dcf-4e1d-4340-8be8-7a3da0b76252,,812,"Theft, Robbery, and Related Crimes",15,6,,White,Male,Unknown,7634866,,N,Filed Pending Court,00:00.0,,"Theft, Robbery, and Related Crimes",FL064015A,812.015.6,,Unknown,Unknown,Unknown,,,64,Volusia County State Attorney's Office,Volusia,Florida
2181658,f537c057-804b-409d-b6ed-c32c67940a35,7521100,24:08.9,First Degree,Misdemeanor,f537c057-804b-409d-b6ed-c32c67940a35,,827,Abuse of Children,4,1a,,White,Female,Unknown,7805157,,N,Filed Pending Court,00:00.0,,Abuse of Children,FL064015A,827.04.1a,,Unknown,Unknown,Unknown,,,64,Volusia County State Attorney's Office,Volusia,Florida
2181675,2e4b7389-ccdb-4a3c-90ab-c97171bd78da,7521156,24:14.3,Not Applicable,Misdemeanor,2e4b7389-ccdb-4a3c-90ab-c97171bd78da,,893,Drug Abuse Prevention and Control,147,1,,White,Male,Unknown,7805201,,L,Dropped or Abandoned,00:00.0,,Drug Abuse Prevention and Control,FL064015A,893.147.1,,Unknown,Unknown,Unknown,,,64,Volusia County State Attorney's Office,Volusia,Florida
2181675,2e4b7389-ccdb-4a3c-90ab-c97171bd78da,7521157,24:14.3,Not Applicable,Misdemeanor,2e4b7389-ccdb-4a3c-90ab-c97171bd78da,,893,Drug Abuse Prevention and Control,147,1,,White,Male,Unknown,7805201,,L,Dropped or Abandoned,00:00.0,,Drug Abuse Prevention and Control,FL064015A,893.147.1,,Unknown,Unknown,Unknown,,,64,Volusia County State Attorney's Office,Volusia,Florida
2181675,2e4b7389-ccdb-4a3c-90ab-c97171bd78da,7521158,24:14.3,Not Applicable,Misdemeanor,2e4b7389-ccdb-4a3c-90ab-c97171bd78da,,893,Drug Abuse Prevention and Control,13,6b,,White,Male,Unknown,7805201,,L,Dropped or Abandoned,00:00.0,,Drug Abuse Prevention and Control,FL064015A,893.13.6b,,Unknown,Unknown,Unknown,,,64,Volusia County State Attorney's Office,Volusia,Florida
2114228,74813ab9-ccdf-46cc-b5ee-72519f155a70,7281285,39:48.0,Not Applicable,Misdemeanor,74813ab9-ccdf-46cc-b5ee-72519f155a70,,322,Driver Licenses,34,2a,,Black,Male,Unknown,7570589,,N,Filed Pending Court,00:00.0,,Driver Licenses,FL064015A,322.34.2a,,Unknown,Unknown,Unknown,,,64,Volusia County State Attorney's Office,Volusia,Florida
