,Year,Circuit,SA_Name,Political_Party,Democrat_YN,Petty_Theft,Drug_Possession,NonViolent_Crime
0,2012,1,Bill Eddins,R,0,0,0,0
1,2013,1,Bill Eddins,R,0,0,0,0
2,2014,1,Bill Eddins,R,0,0,0,0
3,2015,1,Bill Eddins,R,0,0,0,0
4,2016,1,Bill Eddins,R,0,0,0,0
5,2017,1,Bill Eddins,R,0,0,0,0
6,2018,1,Bill Eddins,R,0,0,0,0
7,2019,1,Bill Eddins,R,0,0,0,0
8,2020,1,Bill Eddins,R,0,0,0,0
9,2021,1,Ginger Bowden Madden,R,0,0,0,0
10,2012,2,William N. (Willie) Meggs,D,1,0,0,1
11,2013,2,William N. (Willie) Meggs,D,1,0,0,1
12,2014,2,William N. (Willie) Meggs,D,1,0,0,1
13,2015,2,William N. (Willie) Meggs,D,1,0,0,1
14,2016,2,William N. (Willie) Meggs,D,1,0,0,1
15,2017,2,Jack Campbell,D,1,0,0,0
16,2018,2,Jack Campbell,D,1,0,0,0
17,2019,2,Jack Campbell,D,1,0,0,0
18,2020,2,Jack Campbell,D,1,0,1,0
19,2021,2,Jack Campbell,D,1,0,1,0
20,2012,3,Robert (Skip) Jarvis,D,1,0,0,0
21,2013,3,Jeff Siegmeister,R,0,0,0,0
22,2014,3,Jeff Siegmeister,R,0,0,0,0
23,2015,3,Jeff Siegmeister,R,0,0,0,0
24,2016,3,Jeff Siegmeister,R,0,0,0,0
25,2017,3,Jeff Siegmeister,R,0,0,0,0
26,2018,3,Jeff Siegmeister,R,0,0,0,0
27,2019,3,David Phelps,Appointee,0,0,0,0
28,2020,3,David Phelps,Appointee,0,0,0,0
29,2021,3,John Durrett,R,0,0,0,0
30,2012,4,Angela Corey,R,0,0,0,0
31,2013,4,Angela Corey,R,0,0,0,0
32,2014,4,Angela Corey,R,0,0,0,0
33,2015,4,Angela Corey,R,0,0,0,0
34,2016,4,Angela Corey,R,0,0,0,0
35,2017,4,Melissa Nelson,R,0,0,0,0
36,2018,4,Melissa Nelson,R,0,0,0,0
37,2019,4,Melissa Nelson,R,0,0,0,0
38,2020,4,Melissa Nelson,R,0,0,0,0
39,2021,4,Melissa Nelson,R,0,0,0,0
40,2012,5,Brad King,R,0,0,0,0
41,2013,5,Brad King,R,0,0,0,0
42,2014,5,Brad King,R,0,0,0,0
