,full_county,county,year,pct_dem
0,"Alachua County, FL",Alachua,2011,0.15309
1,"Baker County, FL",Baker,2011,0.0
2,"Bay County, FL",Bay,2011,0.41
3,"Bradford County, FL",Bradford,2011,0.0
4,"Brevard County, FL",Brevard,2011,0.36605
5,"Broward County, FL",Broward,2011,0.65299
6,"Calhoun County, FL",Calhoun,2011,0.41
7,"Charlotte County, FL",Charlotte,2011,0.31749
8,"Citrus County, FL",Citrus,2011,0.33
9,"Clay County, FL",Clay,2011,0.10521
10,"Collier County, FL",Collier,2011,0.40616
11,"Columbia County, FL",Columbia,2011,0.0
12,"DeSoto County, FL",DeSoto,2011,0.31
13,"Dixie County, FL",Dixie,2011,0.41
14,"Duval County, FL",Duval,2011,0.08064
15,"Escambia County, FL",Escambia,2011,0.0
16,"Flagler County, FL",Flagler,2011,0.31
17,"Franklin County, FL",Franklin,2011,0.41
18,"Gadsden County, FL",Gadsden,2011,0.41
19,"Gilchrist County, FL",Gilchrist,2011,0.0
20,"Glades County, FL",Glades,2011,0.33
21,"Gulf County, FL",Gulf,2011,0.41
22,"Hamilton County, FL",Hamilton,2011,0.0
23,"Hardee County, FL",Hardee,2011,0.31
24,"Hendry County, FL",Hendry,2011,0.57012
25,"Hernando County, FL",Hernando,2011,0.33
26,"Highlands County, FL",Highlands,2011,0.33
27,"Hillsborough County, FL",Hillsborough,2011,0.42771
28,"Holmes County, FL",Holmes,2011,0.0
29,"Indian River County, FL",Indian River,2011,0.35
30,"Jackson County, FL",Jackson,2011,0.41
31,"Jefferson County, FL",Jefferson,2011,0.29684
32,"Lafayette County, FL",Lafayette,2011,0.41
33,"Lake County, FL",Lake,2011,0.40475
34,"Lee County, FL",Lee,2011,0.27
35,"Leon County, FL",Leon,2011,0.38499
36,"Levy County, FL",Levy,2011,0.31119
37,"Liberty County, FL",Liberty,2011,0.41
38,"Madison County, FL",Madison,2011,0.0
39,"Manatee County, FL",Manatee,2011,0.32131
40,"Marion County, FL",Marion,2011,0.27569
41,"Martin County, FL",Martin,2011,0.50848
42,"Miami-Dade County, FL",Miami-Dade,2011,0.39288
43,"Monroe County, FL",Monroe,2011,0.34792
44,"Nassau County, FL",Nassau,2011,0.0
45,"Okaloosa County, FL",Okaloosa,2011,0.00861
46,"Okeechobee County, FL",Okeechobee,2011,0.33
47,"Orange County, FL",Orange,2011,0.41543
48,"Osceola County, FL",Osceola,2011,0.3515
49,"Palm Beach County, FL",Palm Beach,2011,0.69338
50,"Pasco County, FL",Pasco,2011,0.3206
51,"Pinellas County, FL",Pinellas,2011,0.33369
52,"Polk County, FL",Polk,2011,0.39754
53,"Putnam County, FL",Putnam,2011,0.5484
54,"Saint Johns County, FL",Saint Johns,2011,0.31
55,"Saint Lucie County, FL",Saint Lucie,2011,0.52136
56,"Santa Rosa County, FL",Santa Rosa,2011,0.0
57,"Sarasota County, FL",Sarasota,2011,0.31
58,"Seminole County, FL",Seminole,2011,0.3716
59,"Sumter County, FL",Sumter,2011,0.33
60,"Suwannee County, FL",Suwannee,2011,0.41
61,"Taylor County, FL",Taylor,2011,0.41
62,"Union County, FL",Union,2011,0.0
63,"Volusia County, FL",Volusia,2011,0.40614
64,"Wakulla County, FL",Wakulla,2011,0.41
65,"Walton County, FL",Walton,2011,0.06847
66,"Washington County, FL",Washington,2011,0.0
67,"Alachua County, FL",Alachua,2012,0.40327
68,"Baker County, FL",Baker,2012,0.0
69,"Bay County, FL",Bay,2012,0.47
70,"Bradford County, FL",Bradford,2012,0.43
71,"Brevard County, FL",Brevard,2012,0.321
72,"Broward County, FL",Broward,2012,0.57481
73,"Calhoun County, FL",Calhoun,2012,0.47
74,"Charlotte County, FL",Charlotte,2012,0.5003
75,"Citrus County, FL",Citrus,2012,5.0
76,"Clay County, FL",Clay,2012,0.41163
77,"Collier County, FL",Collier,2012,0.9553
78,"Columbia County, FL",Columbia,2012,0.0
79,"DeSoto County, FL",DeSoto,2012,0.42
80,"Dixie County, FL",Dixie,2012,0.47
81,"Duval County, FL",Duval,2012,0.16566
82,"Escambia County, FL",Escambia,2012,0.27
83,"Flagler County, FL",Flagler,2012,0.41
84,"Franklin County, FL",Franklin,2012,0.47
