,year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,%_votes
0,2008,FLORIDA,FL,ALACHUA,12001,US PRESIDENT,BARACK OBAMA,DEMOCRAT,75565,125519,0.6
1,2008,FLORIDA,FL,BAKER,12003,US PRESIDENT,BARACK OBAMA,DEMOCRAT,2327,11059,0.21
2,2008,FLORIDA,FL,BAY,12005,US PRESIDENT,BARACK OBAMA,DEMOCRAT,23653,81127,0.29
3,2008,FLORIDA,FL,BRADFORD,12007,US PRESIDENT,BARACK OBAMA,DEMOCRAT,3430,11676,0.29
4,2008,FLORIDA,FL,BREVARD,12009,US PRESIDENT,BARACK OBAMA,DEMOCRAT,127620,287859,0.44
5,2008,FLORIDA,FL,BROWARD,12011,US PRESIDENT,BARACK OBAMA,DEMOCRAT,492640,733899,0.67
6,2008,FLORIDA,FL,CALHOUN,12013,US PRESIDENT,BARACK OBAMA,DEMOCRAT,1821,6244,0.29
7,2008,FLORIDA,FL,CHARLOTTE,12015,US PRESIDENT,BARACK OBAMA,DEMOCRAT,39031,85158,0.46
8,2008,FLORIDA,FL,CITRUS,12017,US PRESIDENT,BARACK OBAMA,DEMOCRAT,31460,76158,0.41
9,2008,FLORIDA,FL,CLAY,12019,US PRESIDENT,BARACK OBAMA,DEMOCRAT,26697,94577,0.28
10,2008,FLORIDA,FL,COLLIER,12021,US PRESIDENT,BARACK OBAMA,DEMOCRAT,54450,141988,0.38
11,2008,FLORIDA,FL,COLUMBIA,12023,US PRESIDENT,BARACK OBAMA,DEMOCRAT,9171,28128,0.33
12,2008,FLORIDA,FL,DESOTO,12027,US PRESIDENT,BARACK OBAMA,DEMOCRAT,4383,10131,0.43
13,2008,FLORIDA,FL,DIXIE,12029,US PRESIDENT,BARACK OBAMA,DEMOCRAT,1925,7264,0.27
14,2008,FLORIDA,FL,DUVAL,12031,US PRESIDENT,BARACK OBAMA,DEMOCRAT,202618,415761,0.49
15,2008,FLORIDA,FL,ESCAMBIA,12033,US PRESIDENT,BARACK OBAMA,DEMOCRAT,61572,154447,0.4
16,2008,FLORIDA,FL,FLAGLER,12035,US PRESIDENT,BARACK OBAMA,DEMOCRAT,24726,49031,0.5
17,2008,FLORIDA,FL,FRANKLIN,12037,US PRESIDENT,BARACK OBAMA,DEMOCRAT,2134,6029,0.35
18,2008,FLORIDA,FL,GADSDEN,12039,US PRESIDENT,BARACK OBAMA,DEMOCRAT,15582,22510,0.69
19,2008,FLORIDA,FL,GILCHRIST,12041,US PRESIDENT,BARACK OBAMA,DEMOCRAT,1996,7819,0.26
20,2008,FLORIDA,FL,GLADES,12043,US PRESIDENT,BARACK OBAMA,DEMOCRAT,1674,4261,0.39
21,2008,FLORIDA,FL,GULF,12045,US PRESIDENT,BARACK OBAMA,DEMOCRAT,2149,7205,0.3
22,2008,FLORIDA,FL,HAMILTON,12047,US PRESIDENT,BARACK OBAMA,DEMOCRAT,2364,5587,0.42
23,2008,FLORIDA,FL,HARDEE,12049,US PRESIDENT,BARACK OBAMA,DEMOCRAT,2568,7412,0.35
24,2008,FLORIDA,FL,HENDRY,12051,US PRESIDENT,BARACK OBAMA,DEMOCRAT,4998,10879,0.46
25,2008,FLORIDA,FL,HERNANDO,12053,US PRESIDENT,BARACK OBAMA,DEMOCRAT,41886,87901,0.48
26,2008,FLORIDA,FL,HIGHLANDS,12055,US PRESIDENT,BARACK OBAMA,DEMOCRAT,18135,44783,0.4
27,2008,FLORIDA,FL,HILLSBOROUGH,12057,US PRESIDENT,BARACK OBAMA,DEMOCRAT,272963,513312,0.53
28,2008,FLORIDA,FL,HOLMES,12059,US PRESIDENT,BARACK OBAMA,DEMOCRAT,1446,8589,0.17
29,2008,FLORIDA,FL,INDIAN RIVER,12061,US PRESIDENT,BARACK OBAMA,DEMOCRAT,29710,70591,0.42
30,2008,FLORIDA,FL,JACKSON,12063,US PRESIDENT,BARACK OBAMA,DEMOCRAT,7671,21565,0.36
31,2008,FLORIDA,FL,JEFFERSON,12065,US PRESIDENT,BARACK OBAMA,DEMOCRAT,4088,7957,0.51
32,2008,FLORIDA,FL,LAFAYETTE,12067,US PRESIDENT,BARACK OBAMA,DEMOCRAT,642,3359,0.19
33,2008,FLORIDA,FL,LAKE,12069,US PRESIDENT,BARACK OBAMA,DEMOCRAT,62948,146926,0.43
34,2008,FLORIDA,FL,LEE,12071,US PRESIDENT,BARACK OBAMA,DEMOCRAT,119701,269276,0.44
35,2008,FLORIDA,FL,LEON,12073,US PRESIDENT,BARACK OBAMA,DEMOCRAT,91747,148608,0.62
36,2008,FLORIDA,FL,LEVY,12075,US PRESIDENT,BARACK OBAMA,DEMOCRAT,6711,18725,0.36
37,2008,FLORIDA,FL,LIBERTY,12077,US PRESIDENT,BARACK OBAMA,DEMOCRAT,895,3278,0.27
38,2008,FLORIDA,FL,MADISON,12079,US PRESIDENT,BARACK OBAMA,DEMOCRAT,4270,8907,0.48
39,2008,FLORIDA,FL,MANATEE,12081,US PRESIDENT,BARACK OBAMA,DEMOCRAT,70034,151994,0.46
40,2008,FLORIDA,FL,MARION,12083,US PRESIDENT,BARACK OBAMA,DEMOCRAT,70839,162022,0.44
41,2008,FLORIDA,FL,MARTIN,12085,US PRESIDENT,BARACK OBAMA,DEMOCRAT,33508,78294,0.43
42,2008,FLORIDA,FL,MIAMI-DADE,12086,US PRESIDENT,BARACK OBAMA,DEMOCRAT,499831,863486,0.58
43,2008,FLORIDA,FL,MONROE,12087,US PRESIDENT,BARACK OBAMA,DEMOCRAT,20907,40272,0.52
44,2008,FLORIDA,FL,NASSAU,12089,US PRESIDENT,BARACK OBAMA,DEMOCRAT,10618,38304,0.28
45,2008,FLORIDA,FL,OKALOOSA,12091,US PRESIDENT,BARACK OBAMA,DEMOCRAT,25872,95529,0.27
46,2008,FLORIDA,FL,OKEECHOBEE,12093,US PRESIDENT,BARACK OBAMA,DEMOCRAT,5108,12786,0.4
47,2008,FLORIDA,FL,ORANGE,12095,US PRESIDENT,BARACK OBAMA,DEMOCRAT,273009,462711,0.59
